Humidity (%),Pressure (hPa),Wind Speed (km/h),Dew Point (°C),Feels Like (°C),Cloud Cover (%),UV Index,Visibility (km),Solar Energy (kWh/m²),Solar Radiation (W/m²),Wind Gust (km/h),Daylight Duration (min),Month,DayOfWeek,Wind_X,Wind_Y,Humidity_Medium,Humidity_High
73.0,1007.3,23.4,25.4,37.9,36.4,10.0,5.2,25.1,289.6,41.0,761.7666666666667,4,4,-0.7890840848346906,-0.6142852000989433,False,True
71.8,1007.7,24.1,25.2,38.0,40.6,10.0,4.7,25.2,291.8,43.6,762.6666666666666,4,5,-0.7384553406258838,-0.6743023875837234,False,True
68.2,1008.8,20.5,24.6,37.7,42.9,9.0,4.6,24.4,281.6,42.5,763.55,4,6,-0.8377187166204388,-0.546101961014429,False,True
67.5,1007.8,22.3,23.6,35.3,50.1,10.0,4.7,24.8,288.3,39.6,764.4166666666666,4,0,-0.759271307334881,-0.6507742172658507,False,True
64.5,1007.2,20.5,23.2,35.7,50.2,10.0,5.5,23.8,276.3,42.1,765.2666666666667,4,1,-0.7033947028105039,-0.7107994738729925,False,True
86.7,1008.2,31.2,23.5,27.7,74.0,9.0,4.3,21.5,249.5,33.1,766.1166666666667,4,2,-0.2283508701106558,-0.9735789028731603,False,True
78.1,1008.7,27.6,24.5,33.2,51.3,9.0,6.9,23.1,267.2,34.2,766.9666666666667,5,3,-0.9996101150403544,0.02792163872356904,False,True
75.4,1008.6,19.1,23.1,30.9,46.5,9.0,7.1,21.4,246.3,36.0,767.8,5,4,-0.9531906677929469,0.3023698907504446,False,True
74.0,1007.3,24.1,23.5,32.7,53.6,9.0,4.5,22.8,262.6,37.8,768.6333333333333,5,5,-0.27060044597586363,-0.9626917464264788,False,True
72.9,1006.7,33.5,21.2,27.6,64.4,9.0,4.5,17.3,200.0,42.5,769.4333333333333,5,6,0.10452846326765299,-0.9945218953682734,False,True
72.6,1006.4,18.4,22.8,32.2,50.2,10.0,4.5,25.8,299.1,33.1,770.25,5,0,-0.7253743710122875,-0.6883545756937541,False,True
70.8,1006.7,22.3,24.7,37.4,42.3,9.0,5.2,24.6,284.1,38.2,771.05,5,1,-0.7083398377245289,-0.705871570678681,False,True
72.6,1006.2,22.3,25.3,38.0,59.7,9.0,6.1,23.3,270.9,36.0,771.8333333333334,5,2,-0.7760464070665459,-0.6306758074312863,False,True
71.9,1006.8,22.3,25.2,38.0,53.5,10.0,5.2,24.3,281.8,37.1,772.6166666666667,5,3,-0.7581343361976525,-0.6520984038303919,False,True
68.8,1007.2,22.3,24.3,36.5,37.6,10.0,5.1,25.7,298.1,34.2,773.3833333333333,5,4,-0.8319541221304827,-0.554844427447999,False,True
73.8,1007.2,18.7,25.5,38.1,36.7,10.0,5.9,26.3,303.7,36.7,774.1333333333333,5,5,-0.7058715706786811,-0.7083398377245287,False,True
74.6,1005.8,20.5,25.7,38.2,37.1,10.0,5.9,25.5,296.9,37.8,774.8666666666667,5,6,-0.7524149088957247,-0.6586894601186801,False,True
78.7,1004.1,22.3,26.6,39.5,43.8,10.0,4.7,25.3,292.5,38.5,775.6,5,0,-0.820151875873772,-0.5721458734455164,False,True
79.1,1004.5,18.4,26.4,38.2,48.5,9.0,4.1,23.4,271.0,34.6,776.3166666666667,5,1,-0.8729220772698099,-0.4878596591387324,False,True
75.0,1005.4,22.3,26.3,40.8,65.3,9.0,4.1,21.6,249.1,33.8,777.0166666666667,5,2,-0.8917975296052141,-0.4524347093117827,False,True
70.0,1005.6,33.5,24.4,36.6,65.4,9.0,4.2,20.8,240.0,29.9,777.7166666666667,5,3,-0.6678325554710466,-0.7443115462311541,False,True
70.1,1005.2,25.9,25.3,38.7,46.9,9.0,4.4,22.5,261.6,37.4,778.3833333333333,5,4,-0.8788171126619654,-0.4771587602596084,False,True
75.3,1005.1,17.6,26.5,40.5,60.6,9.0,4.4,23.4,270.4,33.5,779.05,5,5,-0.6252426563357049,0.7804304073383299,False,True
76.1,1005.0,22.3,25.9,38.2,71.9,9.0,4.6,21.1,245.1,38.9,779.7,5,6,0.013962180339145352,0.9999025240093042,False,True
82.8,1004.2,20.5,26.7,38.2,69.1,7.0,5.2,15.7,181.6,31.7,780.3333333333334,5,0,0.28568836740497355,0.9583225744651332,False,True
88.8,1003.4,19.8,27.1,36.7,80.1,6.0,4.9,14.3,167.6,32.4,780.95,5,1,0.7107994738729925,0.703394702810504,False,True
97.0,1004.3,18.4,27.5,34.9,89.8,6.0,4.6,10.5,123.1,27.7,781.5666666666667,5,2,-0.23344536385590514,-0.9723699203976767,False,True
88.8,1003.6,18.4,26.5,34.5,76.3,6.0,6.1,14.3,166.5,23.4,782.15,5,3,-0.7705132427757893,-0.6374239897486896,False,True
86.4,1001.8,14.4,26.9,37.3,81.8,7.0,6.8,16.6,191.0,40.0,782.7333333333333,5,4,-0.7193398003386511,-0.6946583704589973,False,True
79.7,1001.5,20.5,26.1,37.6,70.6,9.0,8.6,23.2,268.0,37.1,783.2833333333333,5,5,-0.6613118653236519,-0.7501110696304595,False,True
80.4,1002.0,18.4,26.2,37.4,74.9,8.0,4.5,17.2,199.1,30.6,783.8333333333334,5,6,-0.6142852000989432,-0.7890840848346907,False,True
89.2,1000.5,13.5,27.0,36.8,81.6,7.0,4.2,17.4,199.9,29.9,784.35,5,0,-0.626603811364461,-0.7793379649314737,False,True
