Date,Temperature (°C),Humidity (%),Precipitation (mm),Precipitation Type,Pressure (hPa),Sunrise Time,Sunset Time,Wind Speed (km/h),Wind Direction (°),Dew Point (°C),Feels Like (°C),Cloud Cover (%),UV Index,Visibility (km),Solar Energy (kWh/m²),Solar Radiation (W/m²),Wind Gust (km/h)
2025-04-25,31.1,73.0,0.0,None,1007.3,05:34:23,18:16:09,23.4,217.9,25.4,37.9,36.4,10.0,5.2,25.1,289.6,41.0
2025-04-26,31.2,71.8,0.0,None,1007.7,05:33:46,18:16:26,24.1,222.4,25.2,38.0,40.6,10.0,4.7,25.2,291.8,43.6
2025-04-27,31.6,68.2,0.0,rain,1008.8,05:33:10,18:16:43,20.5,213.1,24.6,37.7,42.9,9.0,4.6,24.4,281.6,42.5
2025-04-28,30.6,67.5,0.0,None,1007.8,05:32:35,18:17:00,22.3,220.6,23.6,35.3,50.1,10.0,4.7,24.8,288.3,39.6
2025-04-29,30.9,64.5,0.041,rain,1007.2,05:32:01,18:17:17,20.5,225.3,23.2,35.7,50.2,10.0,5.5,23.8,276.3,42.1
2025-04-30,26.2,86.7,30.946,rain,1008.2,05:31:28,18:17:35,31.2,256.8,23.5,27.7,74.0,9.0,4.3,21.5,249.5,33.1
2025-05-01,29.0,78.1,0.0,None,1008.7,05:30:55,18:17:53,27.6,178.4,24.5,33.2,51.3,9.0,6.9,23.1,267.2,34.2
2025-05-02,28.3,75.4,1.997,rain,1008.6,05:30:23,18:18:11,19.1,162.4,23.1,30.9,46.5,9.0,7.1,21.4,246.3,36.0
2025-05-03,29.0,74.0,0.041,rain,1007.3,05:29:52,18:18:30,24.1,254.3,23.5,32.7,53.6,9.0,4.5,22.8,262.6,37.8
2025-05-04,26.6,72.9,0.559,rain,1006.7,05:29:22,18:18:48,33.5,276.0,21.2,27.6,64.4,9.0,4.5,17.3,200.0,42.5
2025-05-05,29.1,72.6,0.012,rain,1006.4,05:28:52,18:19:07,18.4,223.5,22.8,32.2,50.2,10.0,4.5,25.8,299.1,33.1
2025-05-06,31.4,70.8,0.0,rain,1006.7,05:28:24,18:19:27,22.3,224.9,24.7,37.4,42.3,9.0,5.2,24.6,284.1,38.2
2025-05-07,31.2,72.6,0.0,rain,1006.2,05:27:56,18:19:46,22.3,219.1,25.3,38.0,59.7,9.0,6.1,23.3,270.9,36.0
2025-05-08,31.2,71.9,0.0,None,1006.8,05:27:29,18:20:06,22.3,220.7,25.2,38.0,53.5,10.0,5.2,24.3,281.8,37.1
2025-05-09,31.1,68.8,0.0,None,1007.2,05:27:03,18:20:26,22.3,213.7,24.3,36.5,37.6,10.0,5.1,25.7,298.1,34.2
2025-05-10,31.2,73.8,0.0,None,1007.2,05:26:38,18:20:46,18.7,225.1,25.5,38.1,36.7,10.0,5.9,26.3,303.7,36.7
2025-05-11,31.1,74.6,0.0,None,1005.8,05:26:14,18:21:06,20.5,221.2,25.7,38.2,37.1,10.0,5.9,25.5,296.9,37.8
2025-05-12,31.1,78.7,3.993,rain,1004.1,05:25:51,18:21:27,22.3,214.9,26.6,39.5,43.8,10.0,4.7,25.3,292.5,38.5
2025-05-13,30.7,79.1,0.0,None,1004.5,05:25:29,18:21:48,18.4,209.2,26.4,38.2,48.5,9.0,4.1,23.4,271.0,34.6
2025-05-14,31.7,75.0,0.0,rain,1005.4,05:25:08,18:22:09,22.3,206.9,26.3,40.8,65.3,9.0,4.1,21.6,249.1,33.8
2025-05-15,30.6,70.0,0.0,None,1005.6,05:24:47,18:22:30,33.5,228.1,24.4,36.6,65.4,9.0,4.2,20.8,240.0,29.9
2025-05-16,31.7,70.1,0.002,rain,1005.2,05:24:28,18:22:51,25.9,208.5,25.3,38.7,46.9,9.0,4.4,22.5,261.6,37.4
2025-05-17,31.7,75.3,0.0,None,1005.1,05:24:10,18:23:13,17.6,128.7,26.5,40.5,60.6,9.0,4.4,23.4,270.4,33.5
